predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
0.666,0.31,0.381,0.014,0.679,0.063,0.706
0.665,0.311,0.382,0.014,0.68,0.064,0.707
0.664,0.312,0.383,0.014,0.681,0.064,0.708
0.663,0.312,0.384,0.015,0.682,0.065,0.709
0.662,0.313,0.385,0.015,0.684,0.065,0.71
0.661,0.314,0.386,0.015,0.685,0.066,0.71
0.66,0.315,0.387,0.015,0.686,0.066,0.711
0.659,0.316,0.388,0.015,0.688,0.067,0.712
0.658,0.317,0.388,0.015,0.689,0.068,0.713
0.657,0.318,0.389,0.016,0.69,0.068,0.714
0.656,0.319,0.39,0.016,0.692,0.069,0.714
0.655,0.32,0.391,0.016,0.693,0.069,0.715
0.654,0.321,0.392,0.016,0.694,0.07,0.716
0.653,0.322,0.393,0.016,0.696,0.071,0.717
0.652,0.322,0.394,0.016,0.697,0.071,0.717
0.651,0.323,0.394,0.016,0.698,0.072,0.718
0.65,0.324,0.395,0.017,0.7,0.072,0.719
0.649,0.325,0.396,0.017,0.701,0.073,0.72
0.648,0.326,0.397,0.017,0.702,0.074,0.72
0.647,0.327,0.398,0.017,0.703,0.074,0.721
0.646,0.328,0.398,0.017,0.704,0.075,0.722
0.645,0.328,0.399,0.017,0.705,0.075,0.723
0.644,0.329,0.4,0.017,0.707,0.076,0.723
0.643,0.33,0.401,0.018,0.708,0.077,0.724
0.642,0.331,0.402,0.018,0.709,0.078,0.725
0.641,0.332,0.403,0.018,0.71,0.078,0.725
0.64,0.333,0.404,0.018,0.711,0.079,0.726
0.639,0.334,0.405,0.018,0.712,0.079,0.727
0.638,0.334,0.406,0.019,0.713,0.08,0.728
0.637,0.335,0.407,0.019,0.715,0.08,0.728
0.636,0.336,0.408,0.019,0.716,0.081,0.729
0.635,0.337,0.408,0.019,0.717,0.082,0.73
0.634,0.338,0.409,0.019,0.718,0.082,0.73
0.633,0.339,0.41,0.019,0.719,0.083,0.731
0.632,0.34,0.411,0.02,0.72,0.083,0.732
0.631,0.34,0.412,0.02,0.721,0.084,0.733
0.63,0.341,0.413,0.02,0.723,0.084,0.734
0.629,0.342,0.414,0.02,0.724,0.085,0.734
0.628,0.343,0.414,0.02,0.725,0.086,0.735
0.627,0.344,0.415,0.02,0.726,0.086,0.736
0.626,0.345,0.416,0.021,0.728,0.087,0.736
0.625,0.346,0.417,0.021,0.729,0.087,0.737
0.624,0.347,0.417,0.021,0.73,0.088,0.738
0.623,0.348,0.418,0.021,0.732,0.088,0.738
0.622,0.348,0.419,0.022,0.733,0.089,0.739
0.621,0.349,0.42,0.022,0.734,0.089,0.74
0.62,0.35,0.421,0.022,0.735,0.09,0.74
0.619,0.351,0.422,0.022,0.737,0.091,0.741
0.618,0.352,0.423,0.022,0.738,0.091,0.742
0.617,0.353,0.424,0.022,0.74,0.092,0.742
0.616,0.354,0.424,0.023,0.741,0.093,0.743
0.615,0.355,0.425,0.023,0.743,0.093,0.743
0.614,0.355,0.426,0.023,0.744,0.094,0.744
0.613,0.356,0.427,0.023,0.745,0.095,0.745
0.612,0.357,0.427,0.024,0.747,0.095,0.746
0.611,0.358,0.428,0.024,0.749,0.096,0.746
0.61,0.359,0.429,0.024,0.751,0.096,0.747
0.609,0.36,0.43,0.024,0.752,0.097,0.748
0.608,0.36,0.43,0.025,0.754,0.097,0.748
0.607,0.361,0.431,0.025,0.756,0.098,0.749
0.606,0.362,0.432,0.025,0.757,0.099,0.75
0.605,0.363,0.433,0.026,0.759,0.1,0.751
0.604,0.364,0.434,0.026,0.76,0.1,0.751
0.603,0.365,0.434,0.026,0.762,0.101,0.752
0.602,0.366,0.435,0.026,0.763,0.102,0.753
0.601,0.366,0.436,0.027,0.765,0.103,0.754
0.6,0.367,0.437,0.027,0.766,0.103,0.755
0.599,0.368,0.438,0.027,0.768,0.104,0.756
0.598,0.369,0.438,0.028,0.769,0.105,0.756
0.597,0.37,0.439,0.028,0.771,0.106,0.757
0.596,0.37,0.44,0.028,0.772,0.106,0.758
0.595,0.371,0.441,0.029,0.773,0.107,0.759
0.594,0.372,0.441,0.029,0.774,0.108,0.759
0.593,0.373,0.442,0.029,0.776,0.109,0.76
0.592,0.374,0.443,0.03,0.777,0.11,0.761
0.591,0.375,0.443,0.03,0.779,0.11,0.762
0.59,0.376,0.444,0.03,0.781,0.111,0.763
0.589,0.377,0.445,0.031,0.782,0.111,0.764
0.588,0.378,0.445,0.031,0.783,0.112,0.765
0.587,0.378,0.446,0.031,0.785,0.113,0.765
0.586,0.379,0.447,0.032,0.786,0.114,0.766
0.585,0.38,0.447,0.032,0.787,0.114,0.767
0.584,0.381,0.448,0.032,0.788,0.115,0.768
0.583,0.382,0.449,0.033,0.79,0.116,0.769
0.582,0.383,0.45,0.033,0.791,0.117,0.77
0.581,0.384,0.451,0.033,0.792,0.118,0.771
0.58,0.385,0.452,0.034,0.793,0.118,0.771
0.579,0.385,0.452,0.034,0.794,0.119,0.772
0.578,0.386,0.453,0.035,0.795,0.12,0.772
0.577,0.387,0.454,0.035,0.797,0.121,0.773
0.576,0.388,0.455,0.035,0.798,0.122,0.774
0.575,0.389,0.456,0.036,0.799,0.122,0.775
0.574,0.39,0.457,0.036,0.8,0.123,0.775
0.573,0.391,0.457,0.037,0.801,0.124,0.776
0.572,0.392,0.458,0.037,0.802,0.124,0.777
0.571,0.393,0.459,0.038,0.804,0.125,0.778
0.57,0.394,0.46,0.038,0.805,0.126,0.779
0.569,0.395,0.46,0.038,0.806,0.127,0.779
0.568,0.396,0.461,0.039,0.807,0.128,0.78
0.567,0.397,0.462,0.039,0.807,0.128,0.781
0.566,0.398,0.463,0.039,0.808,0.129,0.782
0.565,0.398,0.463,0.04,0.809,0.13,0.783
0.564,0.399,0.464,0.04,0.81,0.13,0.783
0.563,0.4,0.465,0.04,0.811,0.131,0.784
0.562,0.401,0.466,0.041,0.812,0.132,0.785
0.561,0.402,0.467,0.041,0.813,0.133,0.786
0.56,0.403,0.467,0.042,0.814,0.134,0.786
0.559,0.404,0.468,0.042,0.815,0.135,0.787
0.558,0.404,0.469,0.042,0.816,0.135,0.788
0.557,0.406,0.469,0.043,0.817,0.136,0.789
0.556,0.407,0.47,0.043,0.818,0.137,0.79
0.555,0.408,0.471,0.044,0.819,0.138,0.79
0.554,0.408,0.472,0.044,0.82,0.138,0.791
0.553,0.409,0.473,0.044,0.822,0.14,0.792
0.552,0.41,0.473,0.045,0.823,0.14,0.792
0.551,0.411,0.474,0.045,0.824,0.141,0.793
0.55,0.412,0.475,0.046,0.825,0.142,0.794
0.549,0.413,0.476,0.046,0.826,0.143,0.794
0.548,0.414,0.476,0.047,0.827,0.144,0.795
0.547,0.415,0.477,0.047,0.828,0.145,0.796
0.546,0.416,0.478,0.048,0.829,0.145,0.797
0.545,0.417,0.479,0.048,0.83,0.146,0.797
0.544,0.418,0.479,0.049,0.83,0.147,0.798
0.543,0.418,0.48,0.049,0.831,0.148,0.799
0.542,0.419,0.48,0.05,0.832,0.149,0.8
0.541,0.42,0.481,0.05,0.833,0.15,0.8
0.54,0.421,0.482,0.051,0.833,0.151,0.801
0.539,0.422,0.483,0.051,0.834,0.151,0.802
0.538,0.423,0.484,0.051,0.835,0.153,0.802
0.537,0.424,0.484,0.052,0.836,0.153,0.803
0.536,0.425,0.485,0.052,0.836,0.154,0.804
0.535,0.426,0.486,0.053,0.837,0.155,0.804
0.534,0.427,0.486,0.053,0.838,0.156,0.805
0.533,0.428,0.487,0.054,0.839,0.157,0.805
0.532,0.428,0.488,0.055,0.839,0.157,0.806
0.531,0.429,0.489,0.055,0.84,0.158,0.807
0.53,0.43,0.49,0.056,0.841,0.159,0.807
0.529,0.431,0.491,0.056,0.841,0.16,0.807
0.528,0.432,0.491,0.057,0.842,0.161,0.808
0.527,0.433,0.492,0.057,0.843,0.162,0.809
0.526,0.434,0.493,0.058,0.843,0.162,0.809
0.525,0.435,0.494,0.058,0.844,0.163,0.81
0.524,0.436,0.494,0.059,0.845,0.164,0.811
0.523,0.436,0.496,0.059,0.845,0.166,0.812
0.522,0.438,0.496,0.06,0.846,0.166,0.812
0.521,0.439,0.497,0.06,0.847,0.167,0.813
0.52,0.439,0.498,0.061,0.847,0.168,0.813
0.519,0.44,0.498,0.061,0.848,0.169,0.814
0.518,0.441,0.499,0.062,0.849,0.17,0.815
0.517,0.442,0.5,0.063,0.849,0.171,0.815
0.516,0.443,0.501,0.063,0.85,0.172,0.816
0.515,0.444,0.501,0.064,0.851,0.173,0.817
0.514,0.445,0.502,0.064,0.852,0.174,0.817
0.513,0.446,0.503,0.065,0.852,0.174,0.818
0.512,0.447,0.503,0.065,0.853,0.175,0.818
0.511,0.448,0.504,0.066,0.854,0.176,0.819
0.51,0.449,0.505,0.067,0.854,0.177,0.82
0.509,0.45,0.506,0.067,0.855,0.178,0.82
0.508,0.451,0.507,0.068,0.856,0.179,0.821
0.507,0.452,0.507,0.069,0.856,0.18,0.821
0.506,0.453,0.508,0.07,0.857,0.181,0.822
0.505,0.454,0.509,0.07,0.858,0.182,0.823
0.504,0.455,0.509,0.071,0.858,0.183,0.823
0.503,0.456,0.51,0.072,0.859,0.184,0.824
0.502,0.456,0.511,0.072,0.859,0.185,0.824
0.501,0.458,0.512,0.073,0.86,0.186,0.825
0.5,0.458,0.513,0.074,0.861,0.187,0.825
0.499,0.459,0.514,0.074,0.861,0.188,0.826
0.498,0.46,0.514,0.075,0.862,0.189,0.827
0.497,0.461,0.515,0.076,0.863,0.19,0.827
0.496,0.462,0.516,0.076,0.864,0.191,0.828
0.495,0.464,0.517,0.077,0.864,0.192,0.828
0.494,0.465,0.517,0.078,0.865,0.193,0.829
0.493,0.466,0.518,0.078,0.866,0.194,0.83
0.492,0.467,0.519,0.079,0.866,0.195,0.831
0.491,0.467,0.52,0.08,0.867,0.196,0.831
0.49,0.468,0.52,0.081,0.867,0.196,0.832
0.489,0.469,0.521,0.082,0.868,0.198,0.832
0.488,0.47,0.522,0.082,0.869,0.199,0.833
0.487,0.471,0.522,0.083,0.869,0.199,0.833
0.486,0.472,0.523,0.084,0.87,0.201,0.834
0.485,0.473,0.524,0.084,0.87,0.202,0.834
0.484,0.474,0.525,0.085,0.871,0.203,0.835
0.483,0.475,0.525,0.086,0.871,0.204,0.835
0.482,0.476,0.526,0.087,0.872,0.205,0.836
0.481,0.477,0.527,0.087,0.873,0.206,0.836
0.48,0.478,0.528,0.088,0.873,0.207,0.837
0.479,0.479,0.529,0.089,0.874,0.208,0.838
0.478,0.48,0.529,0.09,0.875,0.209,0.838
0.477,0.481,0.53,0.091,0.876,0.21,0.839
0.476,0.483,0.531,0.092,0.876,0.211,0.839
0.475,0.484,0.532,0.093,0.877,0.212,0.84
0.474,0.485,0.533,0.094,0.878,0.213,0.84
0.473,0.486,0.534,0.095,0.878,0.214,0.841
0.472,0.487,0.534,0.095,0.879,0.215,0.841
0.471,0.488,0.535,0.096,0.879,0.216,0.842
0.47,0.489,0.536,0.097,0.88,0.217,0.843
0.469,0.49,0.537,0.098,0.881,0.218,0.843
0.468,0.491,0.537,0.099,0.881,0.219,0.844
0.467,0.491,0.538,0.1,0.882,0.22,0.845
0.466,0.492,0.538,0.101,0.882,0.221,0.845
0.465,0.493,0.539,0.102,0.883,0.222,0.846
0.464,0.494,0.54,0.103,0.884,0.224,0.846
0.463,0.495,0.541,0.104,0.884,0.225,0.847
0.462,0.497,0.541,0.105,0.885,0.226,0.847
0.461,0.498,0.542,0.106,0.886,0.227,0.848
0.46,0.499,0.543,0.107,0.886,0.228,0.848
0.459,0.5,0.543,0.108,0.887,0.229,0.849
0.458,0.501,0.544,0.11,0.888,0.23,0.849
0.457,0.502,0.545,0.111,0.889,0.231,0.85
0.456,0.503,0.546,0.112,0.889,0.231,0.85
0.455,0.504,0.546,0.113,0.89,0.232,0.851
0.454,0.505,0.547,0.114,0.89,0.233,0.851
0.453,0.506,0.548,0.116,0.891,0.234,0.852
0.452,0.507,0.549,0.117,0.892,0.235,0.852
0.451,0.508,0.55,0.118,0.893,0.236,0.853
0.45,0.509,0.551,0.12,0.893,0.237,0.853
0.449,0.51,0.551,0.121,0.894,0.238,0.854
0.448,0.511,0.552,0.122,0.895,0.239,0.854
0.447,0.512,0.553,0.123,0.895,0.24,0.855
0.446,0.513,0.553,0.124,0.896,0.241,0.855
0.445,0.513,0.554,0.126,0.897,0.243,0.856
0.444,0.514,0.555,0.127,0.897,0.244,0.856
0.443,0.515,0.555,0.128,0.898,0.245,0.857
0.442,0.516,0.556,0.13,0.899,0.246,0.857
0.441,0.518,0.557,0.131,0.899,0.247,0.858
0.44,0.519,0.558,0.133,0.9,0.248,0.858
0.439,0.52,0.558,0.134,0.901,0.25,0.858
0.438,0.521,0.559,0.136,0.901,0.251,0.859
0.437,0.522,0.56,0.137,0.902,0.252,0.859
0.436,0.523,0.561,0.139,0.902,0.253,0.86
0.435,0.524,0.562,0.14,0.903,0.254,0.86
0.434,0.525,0.563,0.142,0.903,0.255,0.861
0.433,0.526,0.564,0.143,0.904,0.256,0.862
0.432,0.527,0.565,0.145,0.904,0.257,0.862
0.431,0.528,0.565,0.147,0.905,0.258,0.862
0.43,0.529,0.566,0.148,0.905,0.26,0.863
0.429,0.53,0.566,0.15,0.906,0.261,0.863
0.428,0.531,0.567,0.152,0.907,0.262,0.864
0.427,0.532,0.568,0.153,0.908,0.263,0.865
0.426,0.533,0.569,0.155,0.909,0.264,0.865
0.425,0.535,0.57,0.156,0.909,0.266,0.866
0.424,0.535,0.571,0.158,0.91,0.266,0.866
0.423,0.536,0.571,0.16,0.91,0.268,0.867
0.422,0.538,0.572,0.162,0.911,0.269,0.867
0.421,0.539,0.573,0.163,0.912,0.27,0.868
0.42,0.54,0.574,0.165,0.913,0.271,0.868
0.419,0.541,0.575,0.167,0.913,0.272,0.869
0.418,0.542,0.576,0.169,0.914,0.273,0.869
0.417,0.542,0.576,0.17,0.915,0.275,0.87
0.416,0.544,0.578,0.172,0.915,0.276,0.87
0.415,0.545,0.579,0.174,0.916,0.277,0.871
0.414,0.546,0.579,0.176,0.916,0.278,0.871
0.413,0.547,0.58,0.178,0.917,0.279,0.872
0.412,0.548,0.581,0.18,0.917,0.281,0.872
0.411,0.549,0.582,0.183,0.918,0.282,0.873
0.41,0.551,0.583,0.185,0.919,0.283,0.873
0.409,0.551,0.584,0.187,0.92,0.284,0.873
0.408,0.553,0.584,0.189,0.92,0.286,0.874
0.407,0.554,0.585,0.191,0.921,0.286,0.875
0.406,0.555,0.586,0.193,0.921,0.288,0.875
0.405,0.556,0.587,0.195,0.922,0.289,0.876
0.404,0.557,0.588,0.197,0.922,0.29,0.876
0.403,0.558,0.589,0.2,0.923,0.291,0.877
0.402,0.559,0.59,0.202,0.923,0.293,0.877
0.401,0.56,0.591,0.204,0.924,0.294,0.878
0.4,0.561,0.591,0.206,0.924,0.295,0.878
0.399,0.562,0.592,0.209,0.925,0.296,0.879
0.398,0.563,0.593,0.211,0.926,0.297,0.879
0.397,0.564,0.594,0.213,0.927,0.299,0.879
0.396,0.565,0.595,0.216,0.927,0.3,0.88
0.395,0.566,0.596,0.218,0.928,0.301,0.88
0.394,0.568,0.597,0.22,0.928,0.302,0.881
0.393,0.568,0.598,0.223,0.929,0.304,0.881
0.392,0.57,0.598,0.225,0.929,0.305,0.882
0.391,0.571,0.599,0.228,0.93,0.306,0.882
0.39,0.572,0.6,0.23,0.931,0.307,0.883
0.389,0.572,0.6,0.233,0.931,0.308,0.883
0.388,0.573,0.601,0.236,0.932,0.31,0.883
0.387,0.574,0.602,0.239,0.932,0.311,0.884
0.386,0.576,0.603,0.241,0.933,0.312,0.885
0.385,0.577,0.604,0.244,0.934,0.313,0.885
0.384,0.578,0.605,0.247,0.934,0.314,0.886
0.383,0.579,0.605,0.25,0.935,0.316,0.886
0.382,0.58,0.606,0.252,0.935,0.317,0.886
0.381,0.581,0.607,0.255,0.936,0.318,0.887
0.38,0.582,0.607,0.258,0.937,0.319,0.887
0.379,0.583,0.608,0.261,0.937,0.321,0.888
0.378,0.584,0.609,0.264,0.938,0.322,0.888
0.377,0.585,0.61,0.267,0.939,0.324,0.889
0.376,0.586,0.61,0.27,0.939,0.325,0.889
0.375,0.587,0.611,0.273,0.94,0.326,0.89
0.374,0.588,0.612,0.276,0.94,0.327,0.89
0.373,0.589,0.613,0.279,0.941,0.329,0.891
0.372,0.59,0.614,0.281,0.941,0.33,0.891
0.371,0.591,0.614,0.285,0.942,0.331,0.891
0.37,0.592,0.615,0.288,0.943,0.333,0.892
0.369,0.593,0.616,0.291,0.943,0.334,0.892
0.368,0.595,0.616,0.294,0.944,0.335,0.893
0.367,0.596,0.617,0.297,0.945,0.337,0.893
0.366,0.597,0.618,0.3,0.945,0.338,0.893
0.365,0.598,0.619,0.303,0.946,0.339,0.894
0.364,0.599,0.619,0.306,0.946,0.341,0.894
0.363,0.6,0.62,0.31,0.947,0.342,0.894
0.362,0.601,0.621,0.313,0.947,0.343,0.895
0.361,0.602,0.622,0.316,0.948,0.344,0.895
0.36,0.603,0.623,0.32,0.948,0.346,0.896
0.359,0.605,0.624,0.323,0.949,0.347,0.896
0.358,0.606,0.625,0.326,0.95,0.348,0.896
0.357,0.607,0.626,0.329,0.95,0.35,0.897
0.356,0.608,0.626,0.332,0.951,0.351,0.897
0.355,0.609,0.627,0.335,0.951,0.352,0.897
0.354,0.61,0.628,0.339,0.952,0.353,0.898
0.353,0.611,0.629,0.342,0.953,0.355,0.898
0.352,0.612,0.629,0.346,0.953,0.356,0.899
0.351,0.613,0.63,0.349,0.953,0.357,0.899
0.35,0.614,0.631,0.352,0.954,0.358,0.899
0.349,0.615,0.632,0.356,0.955,0.36,0.9
0.348,0.616,0.632,0.359,0.955,0.361,0.9
0.347,0.617,0.633,0.363,0.956,0.362,0.9
0.346,0.618,0.634,0.366,0.956,0.364,0.901
0.345,0.619,0.635,0.369,0.957,0.364,0.901
0.344,0.62,0.636,0.373,0.958,0.366,0.901
0.343,0.621,0.637,0.377,0.958,0.367,0.902
0.342,0.622,0.638,0.38,0.958,0.368,0.902
0.341,0.624,0.638,0.383,0.959,0.369,0.903
0.34,0.625,0.639,0.387,0.96,0.37,0.903
0.339,0.626,0.64,0.39,0.96,0.372,0.903
